랭킹,상품명,가격,리뷰,구매건수,찜하기,스마트스토어,쇼핑몰,배송비,용도,부위,중량,등급,링크
70,당일도축 대구뭉티기 암소 한우 육회 한우케이크 육사시미 고기 생고기 택배 250g,17500,4,,13,1,HD한우돈마루,4000,"국거리용, 육회용",우둔,500g,,https://cr.shopping.naver.com/adcr.nhn?x=rCq%2Bx7j3J4rL28xzuS7Gv%2F%2F%2F%2Fw%3D%3DswG8jaDHPaWWUc6iemq0Z7o2FNxu2Va%2FKSFBCuIR4vBI2T%2B2I7vM1lywjaE2447yK6zzawBOYocJEoXWxRT5Ux9yGaSr%2B0dRu37W7MMIB4NEaKnS7qDzT33%2Bj2nEMp8lH4jEZTST%2FGHtH6cnntuce6cjb163Yj5fJLIg8idXIiBEE8h6KBdf2FmbwXiMKqwB6y7WsjvL6fGBruqRzbSMBoQdLXoybizBOVFY0bnGAXBsjDGbxZ3uShLEscRRbEaFXwo%2BumP91amHC%2FRRRXa7CWiFOgT28sJCECrb49FuTCNjBz7%2BORHa%2BX777%2F5U82WuFRDpykpOqWZgZqWcBmVwRDVUk6ILI57uA4XJ5JjEIHm5b2faS%2FsJTkgzOHsm3ubhyKIEPy9huh9JNuR6eleqJXqrrWdYhtbj75ctGOExZW7NcSleoFxZpYEh0mGGbDRSnmmGgEUBTp2GtSskKqMhhNn2E9QKUZ9QKqkyGnYkHP6bc8R4gpSd35EAnl5qPPsGXYMI7WmDyPSXWdCGLZeIBuFmvCA2jz4g7OVgnL1xvv8zA3cmAlDfbbgGhxa4TAjpEnn%2BBUim24BDmyap%2F9R5bOLkyyBDpFD%2Fh%2BLR9JHoUWRHJhbdhQUE3%2BSLyltABCnKg1%2F9DA3d%2FP0krAPS4Aa3HxePsHIj0L8Qn3ZhlwVFEpYW4mOhc4v6YmIc3KLMGJPB9b1NmOoRBMBsXNQGXzjfbC%2BFUQB%2FrDAzm2q1KHRsHkfE%3D&nvMid=83824340872&catId=50004654
71,국내산 숙성암소/육회/500g /소스증정/신선 냉장 육우,18490,150,,0,0,G마켓,3500,,,,,https://cr.shopping.naver.com/adcr.nhn?x=aXVZyRmRrn6gE%2BO2jY5S%2Bv%2F%2F%2Fw%3D%3DsOBjF%2BweJj7VtQd8sf36NSUIJ2kMrmuDoKWYQJ88KCMk2T%2B2I7vM1lywjaE2447yKrsfmtuc68%2FmW5d0Ptb2uOtyGaSr%2B0dRu37W7MMIB4NEaKnS7qDzT33%2Bj2nEMp8lH4jEZTST%2FGHtH6cnntuce6cjb163Yj5fJLIg8idXIiBEE8h6KBdf2FmbwXiMKqwB6Gc3LeEY%2FFI62jpahvFHll8NagcSl3iH%2FOEhTwotJzxfxjdACsIBxxVYyPYjSvLIWQztWcK4rmBg2xTDekdqZpSS5hB%2BvwRalytNUz6muYCT%2BF9GJRvoAliSFRofmiYB76WFubgOpif7sEVcUzG3kx%2F%2FMLJmfqxgY30Gt5V9pcGZdfDp9PuDk%2B%2BnTF9dtYLGeB7P9jx5KZr1oy9qstZx7m8oy6v2cqm4ikl6IaQIpveF8tkhR3GHxxyOQ26Z%2FiW6AV36ogsAbT2GMBHUreotiQD%2BC0AT0ErpMojmHTGU0NBfGJ1zwBYsUaaIGwTOBMQCqxd35PzJqZ8T9h%2FsO1zHpFjoU5pwrEKqJ6JXx%2BDpbIAyJa17F3x71qqWwfKROyoGdcgUMf6BJQEnKdWeDzd9ZrugEKvjhSe5bsyOWZ201Xo8HIZZpr9LLxEncCvEjbsto2YX%2FNTcXKke6KD5sc9%2F6SC6CIOHlLyf7tFzQx427OB2j3Y555aBQ5vLfk6Ly%2BEKTgGwNZFrIj6m5vS62YhJry%2BR79U%2F6Az3gE9mQ%2Flgn57E%3D&nvMid=31370976387&catId=50004654
72,Gfresh 한우 냉장 1+등급 육회 소고기 200g+양념소스증정,15900,1494,,0,0,G마켓,0,,,,,https://cr.shopping.naver.com/adcr.nhn?x=axibLho4aZ1XHLAvEGH1vv%2F%2F%2Fw%3D%3DsGYyM%2FXQfnJdktgLZH3hxQIJQYZZ3hnel8IMS6RxFtlxvxAXzF6PXeMif%2BCBZw%2F3%2F%2Bfoierdq6LeQwUHnlsBaLci30QtKP1mA7BYZPpxeJLceHZ5T6o%2FKOxB%2BF2EdwDbS7zqDWY4a0rSiKMPozmlHnybR3rdxkXI61xri2pFnAYa6LNub1UGEGOMAc6p%2Faiyliitfm6Qka7O4iP1S2SMrm2Bq5AcTXrN%2FKy6R9F8ADBkEkUcBJ6Hon1%2BRG%2BgmR%2FHehGUviyg8X1aXQ3A7xnl1IfO2is7wlzoadKgT5R6p7kBac%2BBkkPh9d8d%2FFzyXlvXyhpAOI91nXqeGxQ0HL4XSOdjIhCW5acpUV1LcXkcr3Pfffisv5tHfoGFh7RH%2BtSaOAFJNLWxG%2Fj2gEfGb7GroeJUMWnMtbY1hz6%2BYjO7LWo6Mp41tAN%2BvV3lPd%2Ba4IF%2FaIvqsuIvkWBzuDvD5f3gldKxn9b0vQkHInY58n4SiXq2gOUemVYPf63Hunu8Fk8GeLOnuJDUtLXj%2FHLIjP0AKuuRADFav666i%2B3%2BkaV8%2FG6YWVJ2lHuX7pACg1WLHhnNALr%2F2gxSiOHgTj7dhDQwbpGvhw%2BVSXdMCTo1STD1z6LTXzp%2B3MQ0VOvdTUNDlblfYELxr9CFVZbyRObNIGtVOHdmVVgsMQmmcjxwXoIw9IhZC3Hia20r8BXhIvq6%2BCeBEj2MFiCDjt8WyOgMcD0JUIIVsN%2FiAcjmtIwlTUFZwg6A%3D&nvMid=29990307642&catId=50004654
73,한우암소 육회200g,24900,1765,,0,0,옥션,0,,,,,https://cr.shopping.naver.com/adcr.nhn?x=%2B7VJHrdxVGgMOJt3SFfAq%2F%2F%2F%2Fw%3D%3DsOgduu22DPGjpvZnEW7AaGwDCL%2Btac0enDw95hYmh8CS%2BujfgJbNMB2WWL70VDrke6tlUj171FqM34yak3gp7FEgAn8lD2%2BxrgblrBqYwPdUckd9Ca%2FSccvvQHwZvN6rSWY7G1dZ4OGSNxlPO3wXNWQpIZmuMCgfXAu66jBebsX8S05jLlaI27Bp%2FV5Vew%2Fk0C%2BcJOraReA9%2FzcNRzdvFBuwyFsF2GHDnFDY5wKLwT6c4wmYw%2BXJEJH5uVUr3tOxohAJy2WTi3yn6sytl8JS3hYE0EOVFvVT6GxpRzL33T1XL%2Fowdnq7%2Fmfq67OVRzok0S5SJNLgIdS1XFCtZ5GETGJNPyZeRGxCS%2FhsifX4yxZnGXbGWZ9Lsd26dd7WYRpDyIvqsuIvkWBzuDvD5f3gldKAsQeS%2B746lJLrBZX7uhSF2Mu61t4DaYNzFeBsrv6k7qJTY68Fv9CVXW1LRprIdl%2BM80kUfhqXJA7c2kAPbUaYXFA0%2BBYDQY3GRg%2FdKW3UtxsVYqG5zp3CZN2s0F9magxohtPjA9PZFWriSd2EhWtQRWA8C06NBqSu7o4LINZJhwr9%2BCv%2BBYQVxmPWzpIiZrMtVYavx%2B%2B8fWZa9SBc8rqM%3D&nvMid=26013187865&catId=50004654
74,한우육회 무침 600G 등급무관,35000,252,17,13,1,전남장흥 김재철,4000,,,,,https://cr.shopping.naver.com/adcr.nhn?x=YX7KR%2F3ACt8lcl7vadjdbf%2F%2F%2Fw%3D%3DsKeDex48FZoY3j8p69gWUjwF3gdju2MVsgyvS%2BmZ5Mhe%2BujfgJbNMB2WWL70VDrkeHnHLrszzEBz7qsmIPyXLo0gAn8lD2%2BxrgblrBqYwPdUckd9Ca%2FSccvvQHwZvN6rSWY7G1dZ4OGSNxlPO3wXNWQpIZmuMCgfXAu66jBebsX8S05jLlaI27Bp%2FV5Vew%2Fk0R2%2B01NoQdRT7PuNJ%2FyDge42ZI8ThWolmqfw9ykCu3a1bKIV0nTcG9DvMpeXqFfSscFKF6%2FDK3%2BD4zXp3BhfEaIJFc0Uf%2BSGT%2BYme1K%2F%2BeSkQhkkHXK4%2FmSRy5icYE%2F27ZC%2BSXUxwyLUckntucAABtTj5GZk1eH1nvH5HzaBjTRM09vFFYJWPupbatwxbth1OVxYF%2BidgRzpKePdoQo6M3N%2BFkpHOiASOnygrdoxLBW3WVwGlh1vSLVzNx3mInn93Vr%2B1e31Fd6n3hzsZKbb5NXKEOXt0twzP7%2FPrPZjDM813ltPp9QnI0Bc6tPsRlADm3XuUna193Sqr%2FveEQT6Y77k9yx2LE4ozzid%2FD5TsgrrVtYuE%2FT1xUxHhqLIzO1PUOYz6tqBAniB6XVVU1SXHvCFQYdOwADq3XNg3OXn9%2BPRoaKZHilHbuauHUigNM5KA&nvMid=81222881072&catId=50004654
75,마담이네프리미엄 한우암소 1++ 육회(300g),18000,292,137,20,1,마담이네,4000,,,,,https://cr.shopping.naver.com/adcr.nhn?x=AEIRAXJD5Ih3yVrcPefpSv%2F%2F%2Fw%3D%3DsIcxrJL9DqfPhVyUXx44gKjichOUPIUyZATn%2FFEElOqs2T%2B2I7vM1lywjaE2447yKbzcL2PJY6BHOI%2FQKEYnPCdyGaSr%2B0dRu37W7MMIB4NEaKnS7qDzT33%2Bj2nEMp8lH4jEZTST%2FGHtH6cnntuce6cjb163Yj5fJLIg8idXIiBEE8h6KBdf2FmbwXiMKqwB6y7WsjvL6fGBruqRzbSMBoQdLXoybizBOVFY0bnGAXBv6ImvwLPsCox3PuoSSNzBymWmnKPrbn9M4YpBL1rQ4eCFOgT28sJCECrb49FuTCNjBz7%2BORHa%2BX777%2F5U82WuFRDpykpOqWZgZqWcBmVwRDQpL5sAAQ0do4HEQ2xYAPyTieaUkujGahFSdY9mGXRfZKIEPy9huh9JNuR6eleqJXju%2FqTFQ0Qf8xs3wllAyi0aJc8H%2F27OK1tROPl3eHuVX9LJFB675dxnIReDhLH7C3AfxzXQHHrsIfelNyWaYViL61CJvQibvQ3fgjtvEhsmuW%2FAG6uqpTcftg8YjTb1Z3JSBeAR9V0o0oc50xScul50XNye9k3akbXZcS5H%2FclHeo07ceHXE2r7YGGJ%2FoU169L8n0ZukIOeoxWiU%2BIND7vOtSKzJdOeHsYXunrtGWoDnxyAhEKTy%2B0Zvtn8oYxIR0Q%3D%3D&nvMid=82458127010&catId=50004654
76,[도축장집아들들]육회(1++) 최상급 한우 150g,8250,1,,1,1,도축장집아들들,3500,육회용,기타,150g,1++등급,https://cr.shopping.naver.com/adcr.nhn?x=dkpXqQ0EPhgAeuaqXDWU0v%2F%2F%2Fw%3D%3DsPC12Gs0Owb%2F7e6p%2BlvaA65hLeYW2yFdpWABmf2J3wQW%2BujfgJbNMB2WWL70VDrkeN5g1s5MLXEC4wx48ebAFiUgAn8lD2%2BxrgblrBqYwPdUckd9Ca%2FSccvvQHwZvN6rSWY7G1dZ4OGSNxlPO3wXNWQpIZmuMCgfXAu66jBebsX8S05jLlaI27Bp%2FV5Vew%2Fk0rFRN%2BLM1yJAr78kyjmQeuVavFoQZioHQNBzgV6NBWA6tlZVkw6V%2F%2FeY6owpns0eWsfy2Yq8M%2FGe8ow9xyE6PMquKWQN4b7WstTXVRp4V%2Fd2Kx7G3krbJiQXzryuwwOqJeIfKa83oknBqefb7D8zNIInk7Wkt2kfKPu%2BTpNMPcLRdrU9gBvTOY8XVxGgpGxxdF6ZttT0HymcgVP2IJ0tbEbpGMCasq3VehQALC66wjv40aBmOmouKyTj2ANwMnRc4sZg3bPthF3na05r9PXcsRhpghGzbeFX4T0aTOgjwqssG56fQgx%2FaPzX6gbesdnZqKAQAwPq0Ew%2BdFGT1krP1YlyTNfuuDaI0iD4ueH2DHfu5PcsdixOKM84nfw%2BU7IK6NPtysVCzd%2BgFoA3u9iBGkyBeyhKkPR7FKT6arZpo9Wg1k9Wc5Yh13HYrvKeP5YAty1Vhq%2FH77x9Zlr1IFzyuow%3D%3D&nvMid=84256267889&catId=50004654
77,1등급이상 한우 육회 육사시미 우둔 200g 소포장,16900,210,10,18,1,조은장터 정읍산외한우마을,3000,육회용,우둔,200g,,https://cr.shopping.naver.com/adcr.nhn?x=FAsYfBl%2BYT6SPJJXCUW%2FP%2F%2F%2F%2Fw%3D%3DsnHpaSle6V8u406zfJGyTGpC59oF77p0az7Dg9D%2BRDCK%2BujfgJbNMB2WWL70VDrkeh49bEe8tFmOiWfdkyQCa5kgAn8lD2%2BxrgblrBqYwPdUckd9Ca%2FSccvvQHwZvN6rSWY7G1dZ4OGSNxlPO3wXNWQpIZmuMCgfXAu66jBebsX8S05jLlaI27Bp%2FV5Vew%2Fk0rFRN%2BLM1yJAr78kyjmQeuVavFoQZioHQNBzgV6NBWA6myCcUZiNwOYtQavI773M0IswXelGMH7ql6Yll24VpJvziKuqi6lvlwe2gIVAf2UAlXTdy6Sn%2F2yromYu89VyUMMbzeFwlCm0bLr6ydYEwWanmvB5KVtpLucodB%2Bc7bpt%2FlLnJwMa7Bt8R2%2FUDqQrCEqfXhSNEqS7EG7IhXDMDQUZ6R5wBw%2BbUiVpUHZkI4kPN9tQbR746lQ1IK83x96K1MaqO4HMkdnFlDjXyAoJyIBPEBXz81mE5%2BK07iOr3Fx%2BeQwLASk%2FSqbEByUhEBpieJaMAnx8d%2Br5eXQeDsiFx8SWfesoYRZnu9%2B3jJdMVF%2BzmMA33uS1Z9Fwytrbd525EoRla1zfp3VdEMJ2Eop%2FBqB%2Bw45bQmnWbiJDSB7xs8%2BrAtLNO8XY0RwLfYzp09vT1V3OdHgSE8LoEjTx9zpNPbFaRsOtQUnaEEbxBoHxZXOc%3D&nvMid=13432716614&catId=50004654
78,[백십일] 한우 육회 당일도축 200g,24900,69,,2,0,쿠팡,0,,,,,https://cr.shopping.naver.com/adcr.nhn?x=cogOLZ7zX%2BnmR7SteQoYdf%2F%2F%2Fw%3D%3DskhK2L6I3zAcH2OK9n1Kis7FCWZC5eQps7T7kvx%2Bf4pv9j6Z028SOG9T5CrCo3ZqjUFWTskNE9zsoPoS8%2F%2BXMPsi30QtKP1mA7BYZPpxeJLceHZ5T6o%2FKOxB%2BF2EdwDbS7zqDWY4a0rSiKMPozmlHnybR3rdxkXI61xri2pFnAYa6LNub1UGEGOMAc6p%2Faiyl6InUdgRJ2eKXcsL2jyhcXKQfvg83DEGAmQ8NhqAZnU%2Bvf5W6ThBgG9fv3rX55WKNy8%2FYNhXWszay%2BnotN9X%2BamrolwahYeCY5Hts%2FN0U5liqxB3vqA9aGo0VYCaAWevwM8j7lLaghqRzLDx8otTkovrFA8kDYzvLMDV%2FhHDecoakcQWClrQ%2F3rQSkLL9wm7ugkVzRR%2F5IZP5iZ7Ur%2F55KRCGSQdcrj%2BZJHLmJxgT%2Fbu1npWZ99Pp7FhMgYCqhL4unNesNN5JF3b7o2W1Btq86YakL8Jkf6pU9I0LjWzj68KGiLmnc70ajOPWINFotCMHrbSOpnQmgAdglz713f7R32T88TDwhYhtcrSSuwUv2fcK0SSgcMiT7qBggXkBtg29tqbBK8qzVb9CCWsVWOynVZacKpVJElveMK3fXAlxesV%2FqZ3MnfisO%2F6nEwrugD2qFsuSrRbR8ah%2Fmrrf2%2FwSqdmVVgsMQmmcjxwXoIw9IhYhb6hU9mxLmPidFxd1H8hbe1DzV01EOOuAdKW5yKUI%2BYVsN%2FiAcjmtIwlTUFZwg6A%3D&nvMid=30880138442&catId=50004654
79,대구 뭉티기 생고기 육사시미 당일도축 한우육회 소고기육회 한우우둔살 150g 300g,14980,268,40,14,1,스위트쿡,4000,육회용,우둔,150g,,https://cr.shopping.naver.com/adcr.nhn?x=27NHxp0uA6hwAx0RNBCnEf%2F%2F%2Fw%3D%3Ds2CjxJ1ooce3RzX3uX9Vta4L2HQY7UNJlge%2B9UmSMEJK%2BujfgJbNMB2WWL70VDrke3qm8KzSrixD1GPleBiaHbEgAn8lD2%2BxrgblrBqYwPdUckd9Ca%2FSccvvQHwZvN6rSWY7G1dZ4OGSNxlPO3wXNWQpIZmuMCgfXAu66jBebsX8S05jLlaI27Bp%2FV5Vew%2Fk0rFRN%2BLM1yJAr78kyjmQeuVavFoQZioHQNBzgV6NBWA4UsqnFpNufpVM75GADSPN8udtLc1c2etSLJbrEDy4EWquKWQN4b7WstTXVRp4V%2Fd2Kx7G3krbJiQXzryuwwOqJIdxFgtEmTcFxDp03QPP2f9CMzNHrrjStR0RyKBj1FXZdrU9gBvTOY8XVxGgpGxxdUrccEpMyX8X40VrkrpE%2BXqspPxeXDMoQKua2tNKxvkfdAkoLNBGXDTOnlVfUHGtzqq366Z%2FPcO6GGDvniKRcWCTCr1sqVhpPCE7rl79ulHmlq7Ivd9q0Uv9v0JlFPqLmefLVPj9H8byzyuMZZ03HV5kJZMpNVK%2FEgd1XfPMaPo7bun476q1qBOzk2iCpSwvxoaBidGxMHFuiOFJ3YFkhQa2NJuiXx4dVzMPiZVKaR5Cy%2B%2BHOXp8URJ2Emt5rVaYb7s5qyM6D4WPfGFHVeklhcXVmGNwY4GYZtm0KC7s%2FT7Gh5ZCI01BRLDfWHB13ItZjV3OdHgSE8LoEjTx9zpNPbFaRsOtQUnaEEbxBoHxZXOc%3D&nvMid=82622353824&catId=50004654
80,[섬고기]명품 숙성 암소한우 육회 300g,20100,9,,1,1,섬고기,4000,,,,,https://cr.shopping.naver.com/adcr.nhn?x=yXbNqFykNFWlRT1Jn6%2BVXf%2F%2F%2Fw%3D%3DsERu%2Bb%2Fh1Qu9Y6qY8sFT%2FB9MRzoXW8yo4N1JvUS0h2Fm%2BujfgJbNMB2WWL70VDrkeSsfdws%2BFYVn%2FRa3Ah12QQkgAn8lD2%2BxrgblrBqYwPdUckd9Ca%2FSccvvQHwZvN6rSWY7G1dZ4OGSNxlPO3wXNWQpIZmuMCgfXAu66jBebsX8S05jLlaI27Bp%2FV5Vew%2Fk0rFRN%2BLM1yJAr78kyjmQeuVavFoQZioHQNBzgV6NBWA6vuNpr0mck7hp%2BA1jhwh%2FgFJ7CVVUatFkxTZQCw77SIquKWQN4b7WstTXVRp4V%2Fd2Kx7G3krbJiQXzryuwwOqJlHZkyDBUdYQdWXSfIOYLjmerYAcMBm3xeFHs6%2FV3T3NdrU9gBvTOY8XVxGgpGxxdXFt55TSLT5o4xIREnbSeu0myqFtvOxTcPQgpJkmYjH2laFYOOLQRAJGqXF2amou2Fnvbl64dRhuUOaIjUrOgfF4R2YYYlp%2F%2BORhJMJSEr60gTBEqY4NQAnDkYglqDW0DFUkCFUlptSEiALQI59kHCy6D0GQ7Fnb6Au299rNHQdjB%2BTCQi5XXjJgbWT24E3ihOLkrrTBSI89Tl4SDUgUzdGByJ5%2BMEfpPQgqBsj6fEYIIoidcWYipsO090QA8xs45QdAiJdwXirBRdnaxfvrBbw%3D%3D&nvMid=83102579118&catId=50004654
81,소백산 한우 10종 1+등급 이상 한우 꽃등심 갈비살 삼각살 살치살 육회 국거리 소고기,19700,45,46,22,1,승혜축산,4000,"구이용, 스테이크용, 국거리용",기타,300g,,https://cr.shopping.naver.com/adcr.nhn?x=kvn5pjck0tJqojLyt0Ikrf%2F%2F%2Fw%3D%3DskLcyzSqWYOHIa4b%2BFo5xi3%2B2wpadfz%2FHQ%2FNrwT9rKB02T%2B2I7vM1lywjaE2447yKAOD7UWfAZ8XOALyS9eGwy9yGaSr%2B0dRu37W7MMIB4NEaKnS7qDzT33%2Bj2nEMp8lH12MfoByEVIL8ZK1KbamffUg8TaDtN6tgOxgWjMS7RrXR%2BWj6NVLAZzX8DAsIok2ky7WsjvL6fGBruqRzbSMBoQdLXoybizBOVFY0bnGAXBuMjW3nz1MPI66Uh%2FGzIHaIBkvVdVHzkYO%2FR692VuQsXiFOgT28sJCECrb49FuTCNjBz7%2BORHa%2BX777%2F5U82WuFRDpykpOqWZgZqWcBmVwRDZeKnFS%2F2wovyaCh%2FRHN%2B96ehqZrkCdtuWMdHwzLpk8FKIEPy9huh9JNuR6eleqJXrJIImw3HUYXJgHfSLVenbuNtsdfy%2BCi6%2Fxb9BZRaSYxeyaCXdG3MnUSlugl23nHaAf8n2wwYvB4fgNsz8n9dz%2F8oalvkfQan%2BgwmYRusYPpPJNIfFuW0B47KQKyRhfJFWVi5KIsMB2lfa3N13zdpwsuSg3uDiznDlQoKYeKME9ci72YuMJML1pXREBpfWzptfzQbuurnU34NZTwGK%2Be6i5sYHT6MBifUUwc7yqriqsNkAlOKwPahCEyYd9E%2BlamjpwCSSFM9JB7rFEUAWsEu%2FkzWogmlChEU%2F%2BU6qsL0s9wM1JuNN0SPzN2fZsBHv6hq4KoDr6us%2BRKRCOTdsWr9TI%3D&nvMid=83282553282&catId=50004654
82,[마장동 온우]1++ 투뿔 마장동 한우 육회,20900,46,43,6,1,온우,3000,육회용,기타,300~500g,,https://cr.shopping.naver.com/adcr.nhn?x=JcY5wIWgcocD4%2FYBbnKuqP%2F%2F%2Fw%3D%3DsDhDw6o8l0z4SL9MnNnCny1DFPrUvq8gyfZEL4Y7Lxws2T%2B2I7vM1lywjaE2447yKGmEZ3owAXXmfqG4rvHsdWdyGaSr%2B0dRu37W7MMIB4NEaKnS7qDzT33%2Bj2nEMp8lH12MfoByEVIL8ZK1KbamffUg8TaDtN6tgOxgWjMS7RrXR%2BWj6NVLAZzX8DAsIok2ky7WsjvL6fGBruqRzbSMBoQdLXoybizBOVFY0bnGAXBvL3JyK5LMqW0ZXJS%2FrzTN%2Fbanqo4zxBNcuEPtqTynLCCFOgT28sJCECrb49FuTCNjBz7%2BORHa%2BX777%2F5U82WuFRDpykpOqWZgZqWcBmVwRDdcEr1YsnmM%2BHl1WvXJLr7ErRXoRQMy7J%2F%2BFhnA312TKWQ5Jgg4we5RrHPCpWRq7uTA2bxHmNyqFUzwN3V4%2FGNRGV7Aa7oEf74VPGbfoKTe%2BKMRa3N9vit7VuG7pjAaBOmFu3AWXnFmX8u5ubEzxfPSWOmeZdgu2sysH02dLrM9pPGMmsgNj3aJADSPU2EB%2BmegopjOWiN%2Bc1bmLRMM1UWDmELFO07QEQYUyi%2Bk709RTdhi%2FT%2B8uH4reSaPIugKF%2B2ewXjlXFopGX6gICgQI%2FQyZ4VIC793549Yfi4OoTspUy1Vhq%2FH77x9Zlr1IFzyuow%3D%3D&nvMid=83097341335&catId=50004654
83,당일도축 주인직접 대구뭉티기 한우생고기 육사시미 육회 300g+소스,21600,27,42,22,1,그립소,3500,육회용,우둔,300g,,https://cr.shopping.naver.com/adcr.nhn?x=yT3ktOe4kgYSxZY%2FKGo3%2F%2F%2F%2F%2Fw%3D%3Ds6Ef7QoXBETUToNwFvZWiJmovffW5QzNUnsVeewSCmYq%2BujfgJbNMB2WWL70VDrkeh0dTMb%2Fm5kaHJlTUVlQ4j0gAn8lD2%2BxrgblrBqYwPdUckd9Ca%2FSccvvQHwZvN6rSgscCEkwjLuAZ1p0PpoBSssgUIKB1YR5p0GrVdUNPDv1Sc31UGbO8uJDnNnZApXkorFRN%2BLM1yJAr78kyjmQeuVavFoQZioHQNBzgV6NBWA7VVslndsHtfQKcPqeKlRBBXJfh89GFMB8szpxyVh3mcKuKWQN4b7WstTXVRp4V%2Fd2Kx7G3krbJiQXzryuwwOqJxl8c0sClBzK1hRPYZJ7wRCzobi%2FUxQvQJZef%2FZc%2FQYVdrU9gBvTOY8XVxGgpGxxdywCAijZynX7OO120v8XLECCso6rZ1s5nvkKnGv4ng15Q7hlhb3iYi773FU73S3wieoP%2BShDFjSGjphoPA4OcENBkr6jhZ%2BPPCY03R1XjqCQaplSzWPTT7KlookIkividipkrAGUQFyZzZ39IAuxQB97PtDH%2Bj%2Ff1FyMkIdytMb4ohp1V4%2BOxIf6pAxLOEuwf5ScgH%2FwncJXYrLYShj3RKNifq1Q41OlXDGUTnWZksrkYMmA06eyA7UrnmEQ%2BZr%2BZvx2Xgdrf8i3IFY4hTBAosxOcYi7EvRqmmg8ZY8VKyVTHICEQpPL7Rm%2B2fyhjEhHR&nvMid=83292555672&catId=50004654
84,"[소근소근 한우] 육회 1등급이상 150g, 300g",10900,79,,36,1,맛있는 이야기 소근소근,3300,,,,,https://cr.shopping.naver.com/adcr.nhn?x=E9Ph4bYAEXIpIORtvv4b8v%2F%2F%2Fw%3D%3Ds7rbwsnY5gIjzCKnnKDtRdc6h3EhSNSV7GTc%2BBDGpDpQ2T%2B2I7vM1lywjaE2447yK9Jx6gQSb9h68hb9VqMp7ZdyGaSr%2B0dRu37W7MMIB4NEaKnS7qDzT33%2Bj2nEMp8lH12MfoByEVIL8ZK1KbamffUg8TaDtN6tgOxgWjMS7RrXR%2BWj6NVLAZzX8DAsIok2ky7WsjvL6fGBruqRzbSMBoQdLXoybizBOVFY0bnGAXBsvB2xHAX9nndvo3k%2F1zL49Hk0gRNGbT18881Re9DAAtiFOgT28sJCECrb49FuTCNjBz7%2BORHa%2BX777%2F5U82WuFRDpykpOqWZgZqWcBmVwRDWx66HJ8WmsUKxoRpy%2BrKVBos3G4KiXLTTg%2Bw%2F2Z05z4KIEPy9huh9JNuR6eleqJXrKjVbxvIzY32hhHBjF%2FQJJwqNz52xsMcVcfH5BWYOnHDYy%2FkY2tyhVDXzTBxwjnb3o9%2BRJj3xoWRCYtwgXEpoqrLiTqnEBcHAbG8eHbtbbKKAQAwPq0Ew%2BdFGT1krP1YrA0WyYVpZfC7%2BPCUzgoeWaDrgClekVxtSLNN1yS74gXm1GUyud05Hz9ktQa%2FIP9j%2BuLuaIojBFJVdS4NC4jZtmXH74cObaiWm5bi5TfaxWzzY6of2Xpggjm6A4Z8HgJhg%3D%3D&nvMid=83065647049&catId=50004654
85,어니스트초이스 한우 1+ 냉장 육회 200g +양념소스 증정,14900,86,,0,0,G마켓,0,,,,,https://cr.shopping.naver.com/adcr.nhn?x=AJr3k4SkgugGW%2BnYoeMo5%2F%2F%2F%2Fw%3D%3DsUGCBb45EJ%2F%2F8nsoXcWSVhnu87sqCLc8rtalq3S%2B04r6%2BujfgJbNMB2WWL70VDrkeUxeLV0WrnITyYn2xUtBnJEgAn8lD2%2BxrgblrBqYwPdUckd9Ca%2FSccvvQHwZvN6rSgscCEkwjLuAZ1p0PpoBSssgUIKB1YR5p0GrVdUNPDv1Sc31UGbO8uJDnNnZApXkodOj4ZqTlf6mO0q5CMai6BSAIegIogJ%2BetkWSXMqEAt3yzdARz4gqMPwI0MBYvqgOmXeoP6krYsl9VPgF1sBYUoON8VqcXY9owNbkURL3KnQSNumKwcpKf7JzXekT2TqW8tiHIrqHY0irb67E1TV95XjVwE7NvwMnG1K0uufOttb84irqoupb5cHtoCFQH9lAJV03cukp%2F9sq6JmLvPVclPBt3SyFTN8J%2BpR8%2F6jIhtslP%2BGUBNB5QRw9Tn4ZfS1Er3hl1ddtdDEIo6lYANZaA1%2BUMwvvtnWBnJJu%2FTM4pLJuCX7qfKw3uLKVJPL7EEChafyIdYKBiS2KrDR0yF5iC0GtdN5%2B1nEn9oqs2cmpsgLyFLkmfS183JlL5d3orU8QoS35Kfi%2FxhT1gZAWLP132GVouoloiowjSudgrOwNrsmXb4%2Bj2wnzvN3yBKhrxAZtq04KhPuUcPxDGkxacWvbp3wJeXbnU6mZaLN%2BXPYoRZxtDlESE1YQL3OYa3VXmcQ0wuDrKgntc36RYHp%2Fi332G8cgIRCk8vtGb7Z%2FKGMSEdE%3D&nvMid=31642208784&catId=50004654
